"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 11 17:36:43 GMT 2024","Sat May 11 17:36:43 GMT 2024","207","tests","test_logout_functionality","","","","test_logout_functionality","Тестирование функциональности выхода из системы."
"passed","Sat May 11 17:37:01 GMT 2024","Sat May 11 17:37:02 GMT 2024","376","tests","test_product","","","","test_product","Тестирование функциональности продукта."
"passed","Sat May 11 17:36:38 GMT 2024","Sat May 11 17:36:39 GMT 2024","1013","tests","test_login","","","","test_login_functionality[valid_username-invalid_password-negative]","Тестирование функциональности входа."
"passed","Sat May 11 17:37:06 GMT 2024","Sat May 11 17:37:07 GMT 2024","959","tests","test_signup","","","","test_signup_functionality[valid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:37:04 GMT 2024","Sat May 11 17:37:05 GMT 2024","861","tests","test_signup","","","","test_signup_functionality[valid_username-valid_password-positive]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:36:36 GMT 2024","Sat May 11 17:36:37 GMT 2024","1088","tests","test_login","","","","test_login_functionality[valid_username-valid_password-positive]","Тестирование функциональности входа."
"passed","Sat May 11 17:36:45 GMT 2024","Sat May 11 17:36:46 GMT 2024","1836","tests","test_pairwise","TestPairwise","","","Тестирование добавления телефона в корзину.","
        Test the functionality of adding a phone to the cart.

        Args:
            self: The instance of the test class.
            page: The page object representing the web page.
            base_url: The base URL of the web page.
        "
"passed","Sat May 11 17:36:43 GMT 2024","Sat May 11 17:36:43 GMT 2024","38","tests","test_pairwise","TestPairwise","","","Тестирование функциональности просмотра продукта.","
        Test the functionality of viewing a product.

        Args:
            self: The test class instance.
            page: The page object.
            base_url: The base URL of the website.
            user_account_authorized: A flag indicating whether the
            user account is authorized.

        "
"passed","Sat May 11 17:37:09 GMT 2024","Sat May 11 17:37:09 GMT 2024","360","tests","test_slider","","","","test_slider[1]","Тестирование слайдера на веб-странице."
"passed","Sat May 11 17:36:43 GMT 2024","Sat May 11 17:36:44 GMT 2024","1019","tests","test_pairwise","TestPairwise","","","Тестирование просмотра товара ноутбука.","
        Test for viewing a notebook product.

        Args:
            page (Page): The page object for interacting with the web page.
            base_url (str): The base URL of the online store.

        Raises:
            Exception: If there is an error during the test execution.

        "
"passed","Sat May 11 17:36:39 GMT 2024","Sat May 11 17:36:40 GMT 2024","364","tests","test_home_page","","","","test_home_page_title[STORE-positive]","Тестирование заголовка домашней страницы."
"passed","Sat May 11 17:36:33 GMT 2024","Sat May 11 17:36:34 GMT 2024","876","tests","test_login","","","","test_signup_functionality[invalid_username-valid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:37:05 GMT 2024","Sat May 11 17:37:06 GMT 2024","895","tests","test_signup","","","","test_signup_functionality[invalid_username-valid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:37:02 GMT 2024","Sat May 11 17:37:04 GMT 2024","2528","tests","test_register_and_login","","","","test_register_and_login_functionality","Тестирование функциональности регистрации и входа в систему"
"passed","Sat May 11 17:36:49 GMT 2024","Sat May 11 17:36:50 GMT 2024","1219","tests","test_pairwise","TestPairwise","","","Тестирование оформления заказа для смартфона.","
        Тест функциональности оформления заказа для смартфона.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.
            User_account: Объект учетной записи пользователя,
                          представляющий текущего пользователя.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Sat May 11 17:36:32 GMT 2024","Sat May 11 17:36:33 GMT 2024","1151","tests","test_login","","","","test_signup_functionality[valid_username-valid_password-positive]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:36:43 GMT 2024","Sat May 11 17:36:44 GMT 2024","1080","tests","test_pairwise","TestPairwise","","","Тестирование функциональности просмотра продукта.","
        Test the functionality of viewing a product.

        Args:
            self: The test class instance.
            page: The page object.
            base_url: The base URL of the website.
            user_account_authorized: A flag indicating whether the
            user account is authorized.

        "
"passed","Sat May 11 17:36:34 GMT 2024","Sat May 11 17:36:35 GMT 2024","906","tests","test_login","","","","test_signup_functionality[valid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:37:07 GMT 2024","Sat May 11 17:37:08 GMT 2024","864","tests","test_signup","","","","test_signup_functionality[invalid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:36:40 GMT 2024","Sat May 11 17:36:40 GMT 2024","324","tests","test_home_page","","","","test_home_page_title[Wrong Title-negative]","Тестирование заголовка домашней страницы."
"passed","Sat May 11 17:37:25 GMT 2024","Sat May 11 17:37:25 GMT 2024","42","tests","test_pairwise","TestPairwise","","","Тестирование оформления заказа для монитора.","
        Тест функциональности оформления заказа для монитора.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Sat May 11 17:36:35 GMT 2024","Sat May 11 17:36:36 GMT 2024","882","tests","test_login","","","","test_signup_functionality[invalid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Sat May 11 17:36:47 GMT 2024","Sat May 11 17:36:48 GMT 2024","1536","tests","test_pairwise","TestPairwise","","","Тестирование функциональности добавления ноутбука в корзину.","
        Test the functionality of adding a notebook to the cart.

        Args:
            page: The page object representing the current page.
            base_url: The base URL of the website.
            user_account_authorized: A boolean indicating
            whether the user account is authorized.
        "
"passed","Sat May 11 17:37:25 GMT 2024","Sat May 11 17:37:27 GMT 2024","1651","tests","test_pairwise","TestPairwise","","","Тестирование оформления заказа для монитора.","
        Тест функциональности оформления заказа для монитора.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Sat May 11 17:36:37 GMT 2024","Sat May 11 17:36:38 GMT 2024","1007","tests","test_login","","","","test_login_functionality[invalid_username-valid_password-negative]","Тестирование функциональности входа."
"passed","Sat May 11 17:36:36 GMT 2024","Sat May 11 17:36:39 GMT 2024","3290","tests","test_e2e","TestE2E","","","test_e2e","Тестирование happy path E2E."
"passed","Sat May 11 17:37:08 GMT 2024","Sat May 11 17:37:09 GMT 2024","389","tests","test_slider","","","","test_slider[0]","Тестирование слайдера на веб-странице."
"passed","Sat May 11 17:37:09 GMT 2024","Sat May 11 17:37:10 GMT 2024","370","tests","test_slider","","","","test_slider[2]","Тестирование слайдера на веб-странице."
"passed","Sat May 11 17:36:57 GMT 2024","Sat May 11 17:36:59 GMT 2024","1154","tests","test_place_order","","","","Тестирование функциональности оформления заказа","
    Тестирование функциональности оформления заказа.
    :param page: Экземпляр страницы для тестирования.
    :param base_url: URL-адрес домашней страницы.
    :param user_account: Фикстура для регистрации и входа в систему.
    :param add_to_cart: Фикстура для добавления карточки в корзину.
    "
"passed","Sat May 11 17:36:53 GMT 2024","Sat May 11 17:36:55 GMT 2024","1571","tests","test_pairwise","TestPairwise","","","Тестирование добавления монитора в корзину.","
        Тест функциональности добавления монитора в корзину.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.
            User_account: Объект учетной записи пользователя,
                          представляющий текущего пользователя.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
