"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 15:38:47 GMT 2024","Fri May 10 15:38:48 GMT 2024","933","tests","test_signup","","","","test_signup_functionality[valid_username-valid_password-positive]","Тестирование функциональности регистрации"
"passed","Fri May 10 15:37:47 GMT 2024","Fri May 10 15:37:48 GMT 2024","897","tests","test_login","","","","test_signup_functionality[valid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Fri May 10 15:38:35 GMT 2024","Fri May 10 15:38:37 GMT 2024","1661","tests","test_pairwise","TestPairwise","","","Тестирование добавления монитора в корзину.","
        Тест функциональности добавления монитора в корзину.

        Args:
            page: Объект страницы, представляющий текущую веб-страницу.
            Base_url: Базовый URL веб-сайта.
            User_account: Объект учетной записи пользователя,
                          представляющий текущего пользователя.

        Raises:
            Exception: Если происходит ошибка во время выполнения теста.
        "
"passed","Fri May 10 15:38:26 GMT 2024","Fri May 10 15:38:28 GMT 2024","2047","tests","test_pairwise","TestPairwise","","","Тестирование добавления телефона в корзину.","
        Test the functionality of adding a phone to the cart.

        Args:
            self: The instance of the test class.
            page: The page object representing the web page.
            base_url: The base URL of the web page.
        "
"passed","Fri May 10 15:38:50 GMT 2024","Fri May 10 15:38:51 GMT 2024","889","tests","test_signup","","","","test_signup_functionality[invalid_username-invalid_password-negative]","Тестирование функциональности регистрации"
"passed","Fri May 10 15:37:54 GMT 2024","Fri May 10 15:37:55 GMT 2024","914","tests","test_pairwise","TestPairwise","","","Тестирование просмотра товара ноутбука.","
        Test for viewing a notebook product.

        Args:
            page (Page): The page object for interacting with the web page.
            base_url (str): The base URL of the online store.

        Raises:
            Exception: If there is an error during the test execution.

        "
"passed","Fri May 10 15:38:03 GMT 2024","Fri May 10 15:38:04 GMT 2024","1653","tests","test_pairwise","TestPairwise","","","Тестирование функциональности добавления ноутбука в корзину.","
        Test the functionality of adding a notebook to the cart.

        Args:
            page: The page object representing the current page.
            base_url: The base URL of the website.
            user_account_authorized: A boolean indicating
            whether the user account is authorized.
        "
"passed","Fri May 10 15:38:43 GMT 2024","Fri May 10 15:38:44 GMT 2024","437","tests","test_product","","","","test_product","Тестирование функциональности продукта."
"passed","Fri May 10 15:37:46 GMT 2024","Fri May 10 15:37:47 GMT 2024","878","tests","test_login","","","","test_signup_functionality[invalid_username-valid_password-negative]","Тестирование функциональности регистрации"
"passed","Fri May 10 15:38:40 GMT 2024","Fri May 10 15:38:41 GMT 2024","1177","tests","test_place_order","","","","Тестирование функциональности оформления заказа","
    Тестирование функциональности оформления заказа.
    :param page: Экземпляр страницы для тестирования.
    :param base_url: URL-адрес домашней страницы.
    :param user_account: Фикстура для регистрации и входа в систему.
    :param add_to_cart: Фикстура для добавления карточки в корзину.
    "
